"Story","Title","Result","Date","Stability","Duration (s)"
"Vendor invoice test","Verify add direct type vendor invoice","SUCCESS","2017-07-07T12:14:35.918+05:00","0.0","63.37"
"Manage deduction test","Verify add fixed amount calculation deduction","SUCCESS","2017-07-07T11:58:55.883+05:00","0.0","136.43"
"Deduction assignment test","Verify add fixed amount deduction","SUCCESS","2017-07-07T11:50:57.149+05:00","0.0","121.5"
"Manage payroll test","Verify add job to register","ERROR","2017-07-07T12:06:05.509+05:00","0.0","154.16"
"Manage employee test","Verify add new employee","SUCCESS","2017-07-07T11:44:22.729+05:00","0.0","157.36"
"Manage deduction test","Verify add percentage calculation deduction","ERROR","2017-07-07T12:03:53.114+05:00","0.0","132.15"
"Manage deduction test","Verify add system deduction","SUCCESS","2017-07-07T11:57:56.712+05:00","0.0","58.7"
"Vendor invoice test","Verify edit direct type vendor invoice","SUCCESS","2017-07-07T12:15:39.672+05:00","0.0","78.84"
"Deduction assignment test","Verify edit fixed amount deduction","SUCCESS","2017-07-07T11:48:46.401+05:00","0.0","130.43"
"Manage payroll test","Verify navigate to deduction assignment","SUCCESS","2017-07-07T12:08:39.969+05:00","0.0","35.18"
"Manage payroll test","Verify navigate to manage deductions","SUCCESS","2017-07-07T12:09:15.377+05:00","0.0","36.65"
"Manage payroll test","Verify navigate to manage payroll","IGNORED","2017-07-07T12:09:52.027+05:00","0.0","0.0"
"Payroll home test","Verify navigate to payroll","SUCCESS","2017-07-07T12:14:00.768+05:00","0.0","34.81"
"Manage payroll test","Verify remove job to register","ERROR","2017-07-07T12:09:52.312+05:00","0.0","95.2"
"Manage payroll test","Verify submit and print special payroll register","IGNORED","2017-07-07T12:11:27.508+05:00","0.0","0.0"
"Manage payroll test","Void register","ERROR","2017-07-07T12:11:27.708+05:00","0.0","152.7"
